node,scope,metric,value
node0,all_nvtx,kernel_union_s_observed,21.403604538
node0,all_nvtx,known_compute_union_s,0.000527586
node0,all_nvtx,known_nccl_union_s,0.002081868
node0,all_nvtx,known_nccl_exposed_vs_known_compute_s,0.002081868
node0,all_nvtx,unresolved_kernel_union_s,21.400995084
node0,all_nvtx,h2d_bytes_nvtx,20622304
node0,all_nvtx,d2h_bytes_nvtx,0
node0,all_nvtx,d2h_events_nvtx,0
node0,h3/student_step,wall_s,674.602894962
node0,h3/student_step,kernel_union_s,15.860368907
node0,h3/student_step,known_nccl_union_s,0.002081868
node0,h3/student_step,d2h_bytes,0
node0,h3/student_step,d2h_events,0
node0,h3/critic_update_F,wall_s,229.277108576
node0,h3/critic_update_F,kernel_union_s,5.543235631
node0,h3/critic_update_F,known_nccl_union_s,0.0
node0,h3/critic_update_F,d2h_bytes,0
node0,h3/critic_update_F,d2h_events,0
node1,all_nvtx,kernel_union_s_observed,0.55096832
node1,all_nvtx,known_compute_union_s,0.0
node1,all_nvtx,known_nccl_union_s,0.0
node1,all_nvtx,known_nccl_exposed_vs_known_compute_s,0.0
node1,all_nvtx,unresolved_kernel_union_s,0.55096832
node1,all_nvtx,h2d_bytes_nvtx,501800
node1,all_nvtx,d2h_bytes_nvtx,8
node1,all_nvtx,d2h_events_nvtx,2
node1,h3/student_step,wall_s,903.730140769
node1,h3/student_step,kernel_union_s,0.55096832
node1,h3/student_step,known_nccl_union_s,0.0
node1,h3/student_step,d2h_bytes,8
node1,h3/student_step,d2h_events,2
